"Statistic Label","Year","Electoral Division","UNIT","VALUE"
"Median Gross Household Income","2022","Blackrock-Seapoint, Dún Laoghaire-Rathdown","€","101205"
"Median Gross Household Income","2022","Blackrock-Stradbrook, Dún Laoghaire-Rathdown","€","77361"
"Median Gross Household Income","2022","Blackrock-Templehill, Dún Laoghaire-Rathdown","€","82653"
"Median Gross Household Income","2022","Blackrock-Williamstown, Dún Laoghaire-Rathdown","€","92553"
"Median Gross Household Income","2022","Cabinteely-Granitefield, Dún Laoghaire-Rathdown","€","70817"
"Median Gross Household Income","2022","Cabinteely-Kilbogget, Dún Laoghaire-Rathdown","€","65289"
"Median Gross Household Income","2022","Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown","€","86259"
"Median Gross Household Income","2022","Cabinteely-Pottery, Dún Laoghaire-Rathdown","€","76507"
"Median Gross Household Income","2022","Churchtown-Castle, Dún Laoghaire-Rathdown","€","83450"
"Median Gross Household Income","2022","Churchtown-Landscape, Dún Laoghaire-Rathdown","€","128160"
"Median Gross Household Income","2022","Churchtown-Nutgrove, Dún Laoghaire-Rathdown","€","66628"
"Median Gross Household Income","2022","Churchtown-Orwell, Dún Laoghaire-Rathdown","€","94783"
"Median Gross Household Income","2022","Churchtown-Woodlawn, Dún Laoghaire-Rathdown","€","100300"
"Median Gross Household Income","2022","Clonskeagh-Belfield, Dún Laoghaire-Rathdown","€","30953"
"Median Gross Household Income","2022","Clonskeagh-Farranboley, Dún Laoghaire-Rathdown","€","58540"
"Median Gross Household Income","2022","Clonskeagh-Milltown, Dún Laoghaire-Rathdown","€","116946"
"Median Gross Household Income","2022","Clonskeagh-Roebuck, Dún Laoghaire-Rathdown","€","93158"
"Median Gross Household Income","2022","Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown","€","84581"
"Median Gross Household Income","2022","Dalkey Hill, Dún Laoghaire-Rathdown","€","69381"
"Median Gross Household Income","2022","Dalkey Upper, Dún Laoghaire-Rathdown","€","86393"
